player,pos,team_id
Kareem Abdul-Jabbar,C,LAL
Alvan Adams,C,PHO
Mark Aguirre,SF,DAL
Danny Ainge,SG,BOS
Tiny Archibald,PG,BOS
Dennis Awtrey,C,POR
Carl Bailey,C,POR
James Bailey,PF,TOT
Greg Ballard,SF,WSB
Gene Banks,SF,SAS
Mike Bantom,SF,TOT
Billy Ray Bates,SG,POR
Mel Bennett,PF,CLE
Kent Benson,C,DET
Larry Bird,PF,BOS
Otis Birdsong,SG,NJN
Rolando Blackman,SG,DAL
Ray Blume,SG,CHI
Alex Bradley,SF,NYK
Charles Bradley,SG,BOS
Dudley Bradley,SG,PHO
Brad Branson,PF,CLE
Mike Bratz,PG,SAS
Jim Brewer,PF,LAL
Ron Brewer,SG,TOT
Junior Bridgeman,SF,MIL
Allan Bristow,SF,DAL
Jim Brogan,SG,SDC
Michael Brooks,SF,SDC
Fred Brown,SG,SEA
Rickey Brown,C,GSW
Joe Bryant,SF,SDC
Quinn Buckner,PG,MIL
Roger Burkman,SG,CHI
David Burns,PG,TOT
Don Buse,PG,IND
Kenny Carr,PF,TOT
M.L. Carr,SF,BOS
Joe Barry Carroll,C,GSW
Butch Carter,SG,IND
Reggie Carter,SG,NYK
Bill Cartwright,C,NYK
Harvey Catchings,PF,MIL
Bobby Cattage,PF,UTA
Tom Chambers,PF,SDC
Maurice Cheeks,PG,PHI
Jim Chones,C,WSB
Don Collins,SG,WSB
Darwin Cook,PG,NJN
Jeff Cook,PF,PHO
Joe Cooper,C,NJN
Michael Cooper,SG,LAL
Wayne Cooper,C,DAL
Hollis Copeland,SF,NYK
Dave Corzine,C,SAS
Charlie Criss,PG,TOT
Geoff Crompton,C,MIL
Pat Cummings,PF,MIL
Earl Cureton,PF,PHI
Bob Dandridge,SF,MIL
Adrian Dantley,SF,UTA
Brad Davis,PG,DAL
Charles Davis,SF,WSB
Johnny Davis,SG,IND
Ron Davis,SF,SDC
Walter Davis,SF,PHO
Darryl Dawkins,C,PHI
Larry Demic,PF,NYK
Kenny Dennard,PF,KCK
Coby Dietrick,C,CHI
Mickey Dillard,PG,CLE
James Donaldson,C,SEA
John Douglas,SG,SDC
Leon Douglas,C,KCK
John Drew,SF,ATL
Larry Drew,PG,KCK
Terry Duerod,SG,BOS
Mike Dunleavy,SG,HOU
T.R. Dunn,SG,DEN
John Duren,PG,UTA
Craig Dykema,SF,PHO
Franklin Edwards,PG,PHI
James Edwards,C,CLE
