season,age,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,award_share,mov,mov_adj,win_loss_pct
1982,34,76,76,35.2,9.9,17.1,0.579,0,0,0,9.9,17.1,0.58,0.579,4.1,5.8,0.706,2.3,6.4,8.7,3,0.8,2.7,3,2.9,23.9,2677,23.4,0.608,0.002,0.34,7.3,19.1,13.4,11.9,1.1,4.1,13.3,25.6,6.9,3.9,10.7,0.192,3.8,1.2,5,4.7,0.045,4.87,4.37,0.695
1982,27,79,75,30.3,6.4,13,0.494,0,0,0,6.4,13,0.494,0.494,2.3,2.9,0.781,1.7,5.7,7.4,4.5,1.4,1,2.5,3.4,15.1,2393,18.6,0.529,0.001,0.227,6.6,20.2,13.6,22.1,2.3,1.9,14.8,22.8,2.5,4.7,7.2,0.144,1.4,2.2,3.6,3.4,0,3.45,3.05,0.561
1982,22,51,20,28.8,7.5,16.1,0.465,0.5,1.4,0.352,7,14.7,0.475,0.48,3.3,4.8,0.68,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3,18.7,1468,17.3,0.514,0.087,0.301,6.7,12.9,9.7,18.6,1.2,0.9,12.7,29.8,1,0.8,1.9,0.061,2.3,-1.6,0.7,1,0,-4.43,-4.48,0.341
1982,22,53,1,10.6,1.5,4.2,0.357,0.1,0.3,0.294,1.4,3.8,0.363,0.369,1.1,1.2,0.862,0.5,0.6,1.1,1.6,0.7,0.1,1,1.6,4.1,564,10.1,0.439,0.077,0.294,5,5.9,5.5,19.7,3.1,0.3,17.5,21.5,-0.3,0.8,0.5,0.042,-3.7,1,-2.7,-0.1,0,6.38,6.35,0.768
1982,33,68,51,31.9,4.5,9.6,0.472,0.1,0.2,0.375,4.4,9.4,0.475,0.477,3.5,4.6,0.747,0.4,1.3,1.7,8,0.8,0,2.6,1.9,12.6,2167,14.3,0.542,0.025,0.485,1.3,4.5,2.9,31.9,1.1,0.1,18.4,17.9,3.4,1.8,5.2,0.115,1.4,-1.3,0.1,1.1,0,6.38,6.35,0.768
1982,33,10,3,12.1,0.5,1.5,0.333,0,0,,0.5,1.5,0.333,0.333,0.5,0.9,0.556,0.7,0.7,1.4,0.8,0.1,0.2,0.6,2.8,1.5,121,1.6,0.396,0,0.6,6.5,6.4,6.5,7.5,0.4,0.9,24,8.5,-0.1,0,0,-0.013,-4.8,-0.3,-5.1,-0.1,0,0.6,0.39,0.512
1982,23,1,0,7,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,2,2,2,7,-6.8,1,0,0,0,0,0,0,0,0,66.7,17.6,0,0,0,-0.268,-5,-0.1,-5.1,0,0,0.6,0.39,0.512
1982,24,77,0,19.1,3.4,6.6,0.517,0,0,,3.4,6.6,0.517,0.517,1.8,2.9,0.612,1.6,3.4,5.1,0.8,0.5,1.1,1.8,3.5,8.6,1468,13.3,0.546,0,0.444,9.7,20.3,15,6.3,1.3,3.3,18.7,20.3,0.2,2.7,2.9,0.094,-3,1,-2,0,0,0,0,0.5
1982,27,79,79,37.3,7.9,16.5,0.475,0.1,0.3,0.409,7.7,16.3,0.476,0.479,3,3.6,0.83,1.7,6.3,8,3.2,1.7,0.3,1.5,2.6,18.8,2946,17.9,0.519,0.017,0.217,5.1,18.1,11.7,13.1,2.2,0.4,7.7,22,4.1,5.3,9.4,0.154,1.5,1.7,3.2,3.9,0,0.88,1.06,0.524
1982,22,80,4,21.3,3.9,8.2,0.477,0,0.1,0,3.9,8.1,0.483,0.477,1.8,2.7,0.684,2,3.2,5.1,1.8,0.7,0.2,1.3,2.5,9.6,1700,14.7,0.515,0.012,0.325,9.9,16,13,11.5,1.5,0.5,12.5,19.9,1.9,1.6,3.5,0.099,0,-0.7,-0.7,0.6,0,2.3,1.79,0.585
1982,30,82,38,24.6,4.1,8.7,0.469,0,0.1,0.333,4,8.6,0.47,0.471,2,3.3,0.629,2.1,3.2,5.4,1.4,0.8,0.7,1.8,3.3,10.2,2016,12.7,0.505,0.008,0.375,9.7,14.4,12.1,8.1,1.5,1.7,15.2,20.2,0.2,2.7,2.9,0.069,-2,-0.3,-2.3,-0.1,0,0,0,0.5
1982,25,75,0,16.4,4.4,9.2,0.473,0.2,0.5,0.293,4.2,8.7,0.484,0.481,2.2,2.8,0.787,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1,1229,17.8,0.53,0.059,0.305,4.9,5,4.9,13.9,1.6,0.2,10.6,29.4,1.8,0.6,2.4,0.094,1.5,-2,-0.5,0.5,0,0.6,0.39,0.512
1982,27,3,0,7.7,0.7,1.3,0.5,0,0,,0.7,1.3,0.5,0.5,0.3,2,0.167,0.3,0.7,1,0,0.3,0,1.3,0.7,1.7,23,-2.7,0.377,0,1.5,4.6,10.5,7.4,0,2.1,0,37.6,19.1,-0.1,0,-0.1,-0.27,-5,-0.4,-5.5,-0.1,0,-8.51,-7.77,0.183
1982,27,75,72,32.9,5.4,10.7,0.505,0,0.1,0.273,5.4,10.5,0.508,0.507,1.7,2.1,0.804,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5,2467,14.4,0.539,0.014,0.197,9.4,19.9,14.5,8.8,1.2,2.2,15.5,16.3,2.2,3,5.2,0.101,0,0.4,0.4,1.5,0,-0.91,-0.63,0.476
1982,25,77,58,38,9.2,18.4,0.503,0.1,0.7,0.212,9.1,17.7,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9,2923,22.6,0.557,0.037,0.269,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,6.8,5.7,12.5,0.205,4.4,2.3,6.6,6.4,0.588,6.38,6.35,0.768
1982,26,37,22,27.7,6.1,13,0.469,0,0.3,0,6.1,12.7,0.479,0.469,2,3.4,0.583,0.8,1.8,2.6,3.4,0.8,0.1,1.7,2,14.2,1025,13.3,0.489,0.021,0.265,3.3,7.5,5.3,18.2,1.4,0.3,10.7,23.4,0.5,1.1,1.6,0.074,-0.5,-0.7,-1.2,0.2,0,0.68,0.87,0.537
1982,22,82,16,24.1,5.4,10.4,0.513,0,0,0.25,5.3,10.4,0.515,0.514,2.6,3.4,0.768,1.2,1.9,3.1,1.3,0.6,0.4,1.4,1.5,13.3,1979,16.2,0.559,0.005,0.323,5.4,9.4,7.3,8.3,1.1,0.9,10.4,22.7,3.2,0.8,4.1,0.098,1.8,-1.6,0.2,1.1,0,-4.43,-4.48,0.341
1982,23,49,2,11.1,2.1,4.5,0.459,0.1,0.4,0.222,2,4.2,0.48,0.468,0.4,0.6,0.643,0.3,0.6,0.8,1.4,0.5,0,1.1,1.2,4.6,546,9.7,0.482,0.081,0.126,3,5.4,4.3,18.9,2,0.2,18.7,22.1,-0.5,0.3,-0.1,-0.013,-3.3,-1.2,-4.5,-0.3,0,-2.02,-1.57,0.415
1982,22,39,0,8.5,1.4,2.6,0.524,0,0,0,1.4,2.6,0.529,0.524,0.7,1.2,0.604,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0.9,3.5,331,12.4,0.552,0.01,0.466,10.5,12,11.2,4.6,1.7,0.9,18.4,18.9,0.1,0.3,0.4,0.053,-1.6,-1,-2.6,0,0,-2.67,-2.15,0.402
1982,22,51,1,6.6,1.1,2.4,0.451,0,0,0,1.1,2.4,0.455,0.451,0.8,1.2,0.677,0.2,0.5,0.7,0.4,0.3,0.1,0.7,1.2,3,339,8.9,0.509,0.008,0.508,4,8.2,6.2,8.5,2,1,19.9,22,-0.2,0.4,0.2,0.03,-4.7,0.2,-4.5,-0.2,0,6.38,6.35,0.768
1982,24,64,3,14.6,2,4.4,0.445,0,0.1,0.25,1.9,4.3,0.448,0.447,1.2,1.6,0.74,0.5,0.9,1.4,1.3,1.2,0.2,1.1,1.8,5.1,937,10.9,0.5,0.014,0.356,3.6,6.6,5.1,11.4,4,0.6,17.9,17.4,-0.3,1.7,1.4,0.071,-3.7,2.6,-1.1,0.2,0,3.45,3.05,0.561
1982,23,10,3,17.6,2.1,5.2,0.404,0,0,,2.1,5.2,0.404,0.404,1.1,1.2,0.917,1.4,1.9,3.3,0.6,0.5,0.4,1.3,1.7,5.3,176,8.4,0.463,0,0.231,8.5,13,10.6,4.6,1.4,1.3,18.5,16.5,-0.1,0.1,-0.1,-0.016,-3.1,-0.8,-3.9,-0.1,0,-8.51,-7.77,0.183
