season,age,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,award_share
1982,34.0,76.0,76.0,35.2,9.9,17.1,0.579,0.0,0.0,0.0,9.9,17.1,0.58,0.579,4.1,5.8,0.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9,0.045
1982,27.0,79.0,75.0,30.3,6.4,13.0,0.494,0.0,0.0,0.0,6.4,13.0,0.494,0.494,2.3,2.9,0.781,1.7,5.7,7.4,4.5,1.4,1.0,2.5,3.4,15.1,0.0
1982,22.0,51.0,20.0,28.8,7.5,16.1,0.465,0.5,1.4,0.352,7.0,14.7,0.475,0.48,3.3,4.8,0.68,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7,0.0
1982,22.0,53.0,1.0,10.6,1.5,4.2,0.357,0.1,0.3,0.294,1.4,3.8,0.363,0.369,1.1,1.2,0.862,0.5,0.6,1.1,1.6,0.7,0.1,1.0,1.6,4.1,0.0
1982,33.0,68.0,51.0,31.9,4.5,9.6,0.472,0.1,0.2,0.375,4.4,9.4,0.475,0.477,3.5,4.6,0.747,0.4,1.3,1.7,8.0,0.8,0.0,2.6,1.9,12.6,0.0
1982,33.0,10.0,3.0,12.1,0.5,1.5,0.333,0.0,0.0,,0.5,1.5,0.333,0.333,0.5,0.9,0.556,0.7,0.7,1.4,0.8,0.1,0.2,0.6,2.8,1.5,0.0
1982,23.0,1.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
1982,24.0,77.0,0.0,19.1,3.4,6.6,0.517,0.0,0.0,,3.4,6.6,0.517,0.517,1.8,2.9,0.612,1.6,3.4,5.1,0.8,0.5,1.1,1.8,3.5,8.6,0.0
1982,27.0,79.0,79.0,37.3,7.9,16.5,0.475,0.1,0.3,0.409,7.7,16.3,0.476,0.479,3.0,3.6,0.83,1.7,6.3,8.0,3.2,1.7,0.3,1.5,2.6,18.8,0.0
1982,22.0,80.0,4.0,21.3,3.9,8.2,0.477,0.0,0.1,0.0,3.9,8.1,0.483,0.477,1.8,2.7,0.684,2.0,3.2,5.1,1.8,0.7,0.2,1.3,2.5,9.6,0.0
1982,30.0,82.0,38.0,24.6,4.1,8.7,0.469,0.0,0.1,0.333,4.0,8.6,0.47,0.471,2.0,3.3,0.629,2.1,3.2,5.4,1.4,0.8,0.7,1.8,3.3,10.2,0.0
1982,25.0,75.0,0.0,16.4,4.4,9.2,0.473,0.2,0.5,0.293,4.2,8.7,0.484,0.481,2.2,2.8,0.787,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1,0.0
1982,27.0,3.0,0.0,7.7,0.7,1.3,0.5,0.0,0.0,,0.7,1.3,0.5,0.5,0.3,2.0,0.167,0.3,0.7,1.0,0.0,0.3,0.0,1.3,0.7,1.7,0.0
1982,27.0,75.0,72.0,32.9,5.4,10.7,0.505,0.0,0.1,0.273,5.4,10.5,0.508,0.507,1.7,2.1,0.804,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5,0.0
1982,25.0,77.0,58.0,38.0,9.2,18.4,0.503,0.1,0.7,0.212,9.1,17.7,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9,0.588
1982,26.0,37.0,22.0,27.7,6.1,13.0,0.469,0.0,0.3,0.0,6.1,12.7,0.479,0.469,2.0,3.4,0.583,0.8,1.8,2.6,3.4,0.8,0.1,1.7,2.0,14.2,0.0
1982,22.0,82.0,16.0,24.1,5.4,10.4,0.513,0.0,0.0,0.25,5.3,10.4,0.515,0.514,2.6,3.4,0.768,1.2,1.9,3.1,1.3,0.6,0.4,1.4,1.5,13.3,0.0
1982,23.0,49.0,2.0,11.1,2.1,4.5,0.459,0.1,0.4,0.222,2.0,4.2,0.48,0.468,0.4,0.6,0.643,0.3,0.6,0.8,1.4,0.5,0.0,1.1,1.2,4.6,0.0
1982,22.0,39.0,0.0,8.5,1.4,2.6,0.524,0.0,0.0,0.0,1.4,2.6,0.529,0.524,0.7,1.2,0.604,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0.9,3.5,0.0
1982,22.0,51.0,1.0,6.6,1.1,2.4,0.451,0.0,0.0,0.0,1.1,2.4,0.455,0.451,0.8,1.2,0.677,0.2,0.5,0.7,0.4,0.3,0.1,0.7,1.2,3.0,0.0
1982,24.0,64.0,3.0,14.6,2.0,4.4,0.445,0.0,0.1,0.25,1.9,4.3,0.448,0.447,1.2,1.6,0.74,0.5,0.9,1.4,1.3,1.2,0.2,1.1,1.8,5.1,0.0
